Classifier,Feature Selection Method,Class,Accuracy,TPR,FPR,Precision,Recall,F Score,MCC,ROC,TN,FP,FN,TP
Naive Bayes,RFE Feature Selection,Heart Attack = 2,0.8911207873019609,0.0693231441048034,0.9306768558951966,0.0598280532328347,0.0693231441048034,0.0642265629938681,0.0067765230557815,0.5572823900268092,120647,7983,6820,508
Naive Bayes,RFE Feature Selection,Weighted,0.8911207873019609,0.8911207873019609,0.1088792126980391,0.8987054441129189,0.8911207873019609,0.8948759190796478,0.0067765230557815,0.5572823900268093,120647,7983,6820,508
Naive Bayes,Select from Model Feature Selection,Heart Attack = 1,0.8911207873019609,0.9379382725647204,0.0620617274352794,0.9464959558160152,0.9379382725647204,0.94219768290921,0.0067765230557815,0.5572823900268092,120647,7983,6820,508
Naive Bayes,Select from Model Feature Selection,Heart Attack = 2,0.8911207873019609,0.0693231441048034,0.9306768558951966,0.0598280532328347,0.0693231441048034,0.0642265629938681,0.0067765230557815,0.5572823900268092,120647,7983,6820,508
Naive Bayes,Select from Model Feature Selection,Weighted,0.8911207873019609,0.8911207873019609,0.1088792126980391,0.8987054441129189,0.8911207873019609,0.8948759190796478,0.0067765230557815,0.5572823900268093,120647,7983,6820,508
Random Forest,Correlation Feature Selection,Heart Attack = 1,0.4060960002353668,0.3871025421752312,0.6128974578247688,0.963076863564272,0.3871025421752312,0.552236985116341,0.0588878889443189,0.5634766198546184,49793,78837,1909,5419
Random Forest,Correlation Feature Selection,Heart Attack = 2,0.4060960002353668,0.7394923580786026,0.2605076419213974,0.0643158944170148,0.7394923580786026,0.1183394479385045,0.0588878889443189,0.5634766198546184,49793,78837,1909,5419
Random Forest,Correlation Feature Selection,Weighted,0.4060960002353668,0.4060960002353668,0.5939039997646333,0.914634547687964,0.4060960002353668,0.5288503425323137,0.0588878889443189,0.5634766198546184,49793,78837,1909,5419
Random Forest,F Score Feature Selection,Heart Attack = 1,0.7522028861854396,0.7850734665319132,0.2149265334680867,0.9435287962028628,0.7850734665319132,0.857038589820842,-0.0219089248584869,0.4563214952835169,100984,27646,6044,1284
Random Forest,F Score Feature Selection,Heart Attack = 2,0.7522028861854396,0.1752183406113537,0.8247816593886463,0.044382993432423,0.1752183406113537,0.0708257488002647,-0.0219089248584869,0.4563214952835169,100984,27646,6044,1284
