Classifier,Feature Selection Method,Class,Accuracy,TPR,FPR,Precision,Recall,F Score,MCC,ROC,TN,FP,FN,TP
Random Forest,F Score Feature Selection,Heart Attack = 2,0.8447388163991821,0.0989355895196506,0.9010644104803494,0.0476002888845118,0.0989355895196506,0.0642758987543774,-0.0099072808479964,0.4970188679269303,114124,14506,6603,725
Random Forest,F Score Feature Selection,Weighted,0.8447388163991821,0.8447388163991821,0.1552611836008179,0.8969208948319141,0.8447388163991821,0.8694744301503375,-0.0099072808479964,0.4970188679269303,114124,14506,6603,725
Random Forest,Forward SFS,Heart Attack = 1,0.7965548183997999,0.8297986472829044,0.1702013527170955,0.9487396003697648,0.8297986472829044,0.885291995322103,0.0255911468899394,0.5469694567574238,106737,21893,5767,1561
Random Forest,Forward SFS,Heart Attack = 2,0.7965548183997999,0.213018558951965,0.7869814410480349,0.0665558113754583,0.213018558951965,0.1014229094925606,0.0255911468899394,0.5469694567574238,106737,21893,5767,1561
Random Forest,Forward SFS,Weighted,0.7965548183997999,0.7965548183997999,0.2034451816002001,0.9011907778970136,0.7965548183997999,0.8430422368602333,0.0255911468899394,0.5469694567574238,106737,21893,5767,1561
Random Forest,RFE Feature Selection,Heart Attack = 1,0.8886715014931081,0.9333436989815752,0.0666563010184249,0.9481748250643668,0.9333436989815752,0.9407008086253368,0.0338132515207187,0.6068216874964142,120056,8574,6562,766
Random Forest,RFE Feature Selection,Heart Attack = 2,0.8886715014931081,0.1045305676855895,0.8954694323144105,0.0820128479657387,0.1045305676855895,0.0919126469882409,0.0338132515207187,0.6068216874964142,120056,8574,6562,766
Random Forest,RFE Feature Selection,Weighted,0.8886715014931081,0.8886715014931081,0.1113284985068917,0.9014895622024628,0.8886715014931081,0.8949519770120693,0.0338132515207188,0.6068216874964142,120056,8574,6562,766
Random Forest,Select from Model Feature Selection,Heart Attack = 1,0.8049765368716809,0.8408924823136127,0.1591075176863873,0.947037552642869,0.8408924823136127,0.8908142297698513,0.009504960887024379,0.5253840194719154,108164,20466,6049,1279
Random Forest,Select from Model Feature Selection,Heart Attack = 2,0.8049765368716809,0.17453602620087336,0.8254639737991266,0.058818119107840884,0.17453602620087336,0.08798541602173839,0.009504960887024379,0.5253840194719154,108164,20466,6049,1279
Random Forest,Select from Model Feature Selection,Weighted,0.8049765368716809,0.8049765368716809,0.19502346312831903,0.8991634149757609,0.8049765368716809,0.847542560966646,0.009504960887024379,0.5253840194719154,108164,20466,6049,1279
